web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Kelleher,Brentford,1,4.8,5.0,0.22,3.33,5.0,2.42
Hill,Bournemouth,2,4.2,3.5,1.71,3.33,2.5,2.42
L.Paquetá,West Ham,3,5.9,0.0,4.85,2.67,0.0,2.41
Lerma,Crystal Palace,3,4.9,3.0,2.0,3.0,3.0,2.4
Gray,Spurs,3,4.8,2.0,2.75,2.67,2.0,2.37
Pinnock,Brentford,2,4.2,5.0,0.07,3.33,5.0,2.36
Bobb,Fulham,3,5.1,2.5,2.57,3.33,2.0,2.36
Joelinton,Newcastle,3,5.9,2.0,3.23,3.67,2.0,2.36
Rayan,Bournemouth,3,5.6,2.5,2.52,3.33,1.5,2.34
Leno,Fulham,1,4.9,5.0,0.0,3.33,4.5,2.33
James,Chelsea,2,5.6,1.0,4.17,3.67,0.5,2.33
Delap,Chelsea,4,6.2,1.0,4.16,3.67,1.0,2.33
Pickford,Everton,1,5.6,4.5,0.15,2.67,4.5,2.33
Taty,West Ham,4,5.5,1.5,3.14,2.67,2.0,2.32
Johnson,Crystal Palace,3,6.5,2.0,2.75,3.0,2.0,2.3
Solanke,Spurs,4,7.2,2.0,2.57,2.67,2.0,2.29
H.Bueno,Wolves,2,4.3,1.0,3.37,2.33,0.5,2.28
Frimpong,Liverpool,2,5.7,3.0,1.67,3.0,3.5,2.27
Willock,Newcastle,3,5.0,3.5,1.45,3.67,3.5,2.25
Malen,Aston Villa,3,5.1,0.0,4.38,2.67,0.0,2.22
De Cuyper,Brighton,2,4.3,0.5,3.7,2.33,1.0,2.21
Milner,Brighton,3,4.9,2.5,1.68,2.33,3.0,2.21
Caicedo,Chelsea,3,5.7,1.5,3.34,3.67,1.5,2.2
Kudus,Spurs,3,6.4,0.0,4.33,2.67,0.0,2.2
Kamada,Crystal Palace,3,5.0,1.0,3.49,3.0,1.0,2.2
Walker,Burnley,2,4.4,3.5,1.13,3.33,3.0,2.19
Robinson,Fulham,2,4.9,3.0,1.52,3.33,2.5,2.14
Mané,Wolves,4,4.4,1.0,3.01,2.33,0.5,2.14
J.Arias,Wolves,3,4.9,0.0,4.0,2.33,0.0,2.13
Elanga,Newcastle,3,6.5,1.5,3.12,3.67,1.5,2.11
Humphreys,Burnley,2,3.9,3.5,0.94,3.33,3.0,2.11
Yarmoliuk,Brentford,3,5.0,2.0,2.43,3.33,2.0,2.11
Mainoo,Man Utd,3,4.6,3.0,1.07,2.67,3.5,2.09
Martinez,Aston Villa,1,5.1,4.0,0.06,2.67,4.0,2.09
Ward-Prowse,Burnley,3,5.6,3.0,1.35,3.33,2.5,2.07
Matheus N.,Man City,2,5.3,2.0,2.17,3.0,2.0,2.07
Tielemans,Aston Villa,3,5.9,0.5,3.5,2.67,0.5,2.07
Ramsdale,Newcastle,1,4.8,4.5,0.0,3.67,4.5,2.07
